Identifier,PMCID,sciscore_hit,trialidentifier_hit,ctregistries_hit,nct_hit,paper_url,id_type_group,id_type,id_in_abstract,id_in_methods,id_in_other_location,other_location,paper_is_research_article,comments,tools_agree
NCT03850340,PMC8021382,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8021382/, , , , , , , , ,yes
NCT02706873,PMC8516509,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8516509/, , , , , , , , ,yes
202102310548,PMC8851657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8851657/, , , , , , , , ,no
NCT03323151,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03676504,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT04282018,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
201507720006,PMC8359274,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8359274/, , , , , , , , ,no
NCT02277769,PMC8560147,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,no
NCT03988088,PMC8195962,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8195962/, , , , , , , , ,no
201906635011,PMC8299156,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8299156/, , , , , , , , ,no
NCT04510207,PMC8662959,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8662959/, , , , , , , , ,yes
201908350095,PMC8435827,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8435827/, , , , , , , , ,no
NCT04541082,PMC8561126,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8561126/, , , , , , , , ,no
NCT03406845,PMC8902179,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8902179/, , , , , , , , ,yes
NCT03796676,PMC8374743,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8374743/, , , , , , , , ,no
201904010464,PMC8590077,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8590077/, , , , , , , , ,no
ACTRN12618001762246,PMC8556752,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8556752/, , , , , , , , ,no
NCT03093220,PMC8760989,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8760989/, , , , , , , , ,yes
IRCT20190222042803N1,PMC8236676,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8236676/, , , , , , , , ,no
UMIN000012045,PMC8122242,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8122242/, , , , , , , , ,no
2008-007237-47,PMC8814304,TRUE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8814304/, , , , , , , , ,no
NCT04002700,PMC8605955,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8605955/, , , , , , , , ,no
NCT03478514,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
201803040003,PMC8053869,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8053869/, , , , , , , , ,no
C000004175,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
NCT02006615,PMC8857363,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8857363/, , , , , , , , ,no
NCT02562755,PMC8487208,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8487208/, , , , , , , , ,no
NCT03128528,PMC8120369,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8120369/, , , , , , , , ,yes
https://dx.doi.org/10.17504/protocols.io.bagaibse,PMC8379522,TRUE,FALSE,FALSE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8379522/, , , , , , , , ,no
C000036701,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
NCT02593201,PMC8612137,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8612137/, , , , , , , , ,yes
NCT02921139,PMC8532585,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8532585/, , , , , , , , ,no
NCT02577003,PMC8453748,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8453748/, , , , , , , , ,yes
NCT04126252,PMC8847802,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8847802/, , , , , , , , ,no
NCT03625037,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT01345253,PMC8256836,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8256836/, , , , , , , , ,yes
NCT03616782,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03153202,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03414229,PMC8019197,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8019197/, , , , , , , , ,no
NCT03014622,PMC8648634,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8648634/, , , , , , , , ,no
NCT02339922,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT01833104,PMC8280951,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8280951/, , , , , , , , ,yes
NCT02969356,PMC8191476,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8191476/, , , , , , , , ,yes
NCT03349060,PMC8200343,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8200343/, , , , , , , , ,yes
NCT03740529,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT00418041,PMC8006606,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8006606/, , , , , , , , ,no
NL63,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
201704020214,PMC8045915,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8045915/, , , , , , , , ,no
NCT02077881,PMC8019197,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8019197/, , , , , , , , ,no
